,Date,TSLA,WL-MART,AMZN,MSFOT,VISA,AAPL,GOOGL,NTFLX,JP-MORGN,NVDA
114,19-01-2018,69.0,104.639999,65.599998,90.139999,123.050003,44.6525,56.591499,222.75,113.940002,57.022498999999996
115,22-01-2018,69.879997,104.5,64.858498,90.0,122.870003,44.325001,56.8745,222.0,112.660004,57.607498
116,23-01-2018,72.0,105.290001,66.904503,91.900002,124.599998,44.325001,57.9925,255.05000299999998,113.66999799999999,58.962502
117,24-01-2018,70.916,106.349998,68.740997,92.550003,125.050003,44.3125,58.866501,250.88000499999998,114.860001,59.759997999999996
118,25-01-2018,69.653999,105.849998,68.400002,92.470001,125.0,43.627499,58.626499,263.0,116.040001,59.5
119,26-01-2018,68.300003,107.0,69.600502,93.120003,125.769997,43.0,58.754002,271.48999,115.699997,59.529999
120,29-01-2018,67.970001,108.110001,70.459,95.139999,126.739998,42.540001000000004,58.824001,274.200012,116.019997,60.685001
121,30-01-2018,69.028,109.139999,70.158501,93.300003,123.82,41.3825,58.391498999999996,277.0,115.529999,60.2775
122,31-01-2018,69.501999,107.769997,72.565002,93.75,123.779999,41.717499,58.5285,281.940002,115.650002,61.442501
123,01-02-2018,70.199997,105.959999,72.25,94.790001,124.739998,41.7925,58.130501,266.410004,115.769997,59.630001
124,02-02-2018,69.688004,105.150002,73.869499,93.639999,123.720001,41.5,56.099998,263.0,116.489998,59.25
125,05-02-2018,67.594002,103.400002,70.130997,90.559998,118.699997,39.775002,54.529999,262.0,113.0,56.75
126,06-02-2018,65.042,97.639999,68.072998,86.889999,115.199997,38.7075,51.359001,247.69999700000002,106.849998,51.099998
127,07-02-2018,67.797997,100.5,72.449997,90.489998,120.089996,40.772498999999996,54.077,266.579987,111.550003,57.395
128,08-02-2018,68.662003,103.230003,71.484001,89.709999,119.529999,40.072497999999996,52.7705,267.079987,113.110001,58.470001
129,09-02-2018,63.986000000000004,100.529999,68.6745,86.300003,114.550003,39.267502,50.862499,253.850006,109.099998,59.5625
130,12-02-2018,63.226002,100.129997,68.233498,88.739998,117.790001,39.625,52.400002,252.13999900000002,111.16999799999999,58.84
131,13-02-2018,63.004002,99.33000200000001,69.296501,88.93,117.849998,40.487499,52.25,257.290009,111.32,56.639998999999996
132,14-02-2018,64.167999,100.860001,70.3125,88.510002,117.620003,40.759997999999996,52.447497999999996,260.47000099999997,112.629997,57.75
133,15-02-2018,64.900002,102.550003,73.344498,91.209999,121.699997,42.447497999999996,53.953499,270.02999900000003,115.739998,61.197497999999996
134,16-02-2018,66.5,103.089996,72.8685,92.449997,121.629997,43.09,54.420502,278.730011,114.550003,61.349998
135,20-02-2018,66.893997,96.989998,72.324501,91.480003,121.349998,43.012501,54.5285,277.73999,114.650002,61.1875
